Food,Measure,Grams,Calories,Protein,Fat,Fiber,Carbs,Category,Consumed for,Consumed by
Cows' milk,1 qt.,976,660,32,40,0,48,Dairy products,"breakfast, snack","underweight, healthy"
Milk skim,1 qt.,984,360,36,t,0,52,Dairy products,"breakfast, snack","healthy, overweight"
Buttermilk,1 cup,246,127,9,5,0,13,Dairy products,"breakfast, lunch","underweight, healthy, overweight"
Fortified milk,6 cups,"1,419","1,373",89,42,1.4,119,Dairy products,"breakfast, snack","healthy, overweight"
Powdered milk,1 cup,103,515,27,28,0,39,Dairy products,"breakfast, snack","underweight, healthy"
(1/2 cup ice cream),2 cups,540,690,24,24,0,70,Dairy products,snack,"underweight, healthy"
Cocoa,1 cup,252,235,8,11,0,26,Dairy products,"snack, dinner","healthy, overweight"
Custard,1 cup,248,285,13,14,0,28,Dairy products,"breakfast, snack","underweight, healthy, overweight"
Ice cream,1 cup,188,300,6,18,0,29,Dairy products,snack,"underweight, healthy"
Cheese,1 cup,225,240,30,11,0,6,Dairy products,"breakfast, lunch, snack","underweight, healthy"
Cream cheese,1 oz.,28,105,2,11,0,1,Dairy products,"breakfast, lunch, snack","underweight, healthy"
Eggs raw,2,100,150,12,12,0,t,Dairy products,"breakfast, lunch, snack","underweight, healthy, overweight"
Eggs Scrambled or fried,2,128,220,13,16,0,1,Dairy products,"breakfast, lunch, snack","underweight, healthy"
Yolks,2,34,120,6,10,0,t,"Fats, Oils, Shortenings","breakfast, snack","underweight, healthy"
Butter,1/2 cup,112,113,114,115,117,118,"Fats, Oils, Shortenings","breakfast, lunch, snack","underweight, healthy, overweight"
Corn oil,1 T.,14,125,0,14,0,0,"Fats, Oils, Shortenings","breakfast, lunch, dinner","underweight, healthy"
Olive oil,1T.,14,125,0,14,0,0,"Fats, Oils, Shortenings","breakfast, lunch, dinner","underweight, healthy, overweight"
Hamburger,3 oz.,85,245,21,17,0,0,"Meat, Poultry","lunch, snack","underweight, healthy"
chicken,3 oz.,85,185,23,9,0,0,"Meat, Poultry","lunch, dinner","underweight, healthy"
"Fried, breast or leg and thigh chicken",3 oz.,85,245,25,15,0,0,"Meat, Poultry","lunch, dinner","underweight, healthy"
Roasted chicken,3 1/2 oz.,100,290,25,20,0,0,"Meat, Poultry","lunch, dinner","underweight, healthy, overweight"
"Chicken livers, fried",3 med.,100,140,22,14,0,2.3,"Meat, Poultry","lunch, dinner","underweight, healthy"
"Lamb, chop, broiled",4 oz.,115,480,24,35,0,0,"Meat, Poultry","lunch, dinner","underweight, healthy"
Turkey,3 1/2 oz.,100,265,27,15,0,0,"Meat, Poultry","lunch, dinner","underweight, healthy, overweight"
Crab meat,3 oz.,85,90,14,2,0,1,"Fish, Seafood","lunch, dinner","underweight, healthy"
Fish sticks fried,5,112,200,19,10,0,8,"Fish, Seafood","lunch, snack, dinner","underweight, healthy, overweight"
Lobster,aver.,100,92,18,1,0,t,"Fish, Seafood","lunch, dinner","underweight, healthy"
Salmon,3 oz.,85,120,17,5,0,0,"Fish, Seafood","lunch, dinner","underweight, healthy, overweight"
Shrimp,3 oz.,85,110,23,1,0,0,"Fish, Seafood","lunch, dinner","underweight, healthy"
Swordfish,1 steak,100,180,27,6,0,0,"Fish, Seafood","lunch, dinner","underweight, healthy, overweight"
Tuna,3 oz.,85,170,25,7,0,0,"Fish, Seafood","lunch, dinner","underweight, healthy, overweight"
Beans,1 cup,125,25,1,t,0.8,6,Vegetables A-E,"lunch, dinner","underweight, healthy, overweight"
Bean sprouts,1 cup,50,17,1,t,0.3,3,Vegetables A-E,"breakfast, dinner","underweight, healthy, overweight"
Beetroots,1 cup,165,1,12,0,t,0.8,Vegetables A-E,"lunch, dinner","underweight, healthy, overweight"
Broccoli,1 cup,150,45,5,t,1.9,8,Vegetables A-E,"lunch, dinner","underweight, healthy, overweight"
Brussels sprouts,1 cup,130,60,6,t,1.7,12,Vegetables A-E,"breakfast, dinner","underweight, healthy, overweight"
Steamed cabbage,1 cup,170,40,2,t,1.3,9,Vegetables A-E,"lunch, dinner","underweight, healthy, overweight"
Carrots,1 cup,150,45,1,t,0.9,10,Vegetables A-E,"breakfast, lunch, dinner","underweight, healthy, overweight"
Cauliflower,1 cup,120,30,3,t,1,6,Vegetables A-E,"lunch, dinner","underweight, healthy, overweight"
Corn,1 ear,100,92,3,1,0.8,21,Vegetables A-E,"lunch, dinner","underweight, healthy, overweight"
Cucumbers,8,50,6,t,0,0.2,1,Vegetables A-E,"lunch, dinner","underweight, healthy, overweight"
Eggplant,1 cup,180,30,2,t,1,9,Vegetables A-E,"lunch, dinner","underweight, healthy, overweight"
Mushrooms canned,4,120,12,2,t,t,4,Vegetables F-P,"lunch, dinner","underweight, healthy, overweight"
Mustard greens,1,140,30,3,t,1.2,6,Vegetables F-P,"lunch, dinner","underweight, healthy, overweight"
Onions,1,210,80,2,t,1.6,18,Vegetables F-P,"lunch, dinner","underweight, healthy, overweight"
"Fresh, steamed peas",1 cup,100,70,5,t,2.2,12,Vegetables R-Z,"lunch, dinner","underweight, healthy, overweight"
Split cooked peas,4 cups,100,115,8,t,0.4,21,Vegetables R-Z,"lunch, dinner","underweight, healthy, overweight"
"Potatoes, baked",1 med.,100,100,2,t,0.5,22,Vegetables R-Z,"lunch, dinner","underweight, healthy, overweight"
French-fried,10 pieces,60,155,-1,7,0.4,20,Vegetables R-Z,"lunch, snack","underweight, healthy, overweight"
Potatoes Mashed with milk and butter,1 cup,200,230,4,12,0.7,28,Vegetables R-Z,"lunch, dinner","underweight, healthy"
"Potatoes, pan-fried",3/4 cup,100,268,4,14,0.4,33,Vegetables R-Z,"lunch, dinner","underweight, healthy"
Steamed potatoes before peeling,1 med.,100,80,2,t,0.4,19,Vegetables R-Z,"lunch, dinner","underweight, healthy"
Potato chips,10,20,110,1,7,t,10,Vegetables R-Z,"lunch, snack, dinner","underweight, healthy"
Radishes,5 small,50,10,t,0,0.3,2,Vegetables R-Z,"breakfast, lunch, dinner","underweight, healthy, overweight"
Soyabeans,1 cup,200,260,22,11,3.2,20,Vegetables R-Z,"breakfast, lunch, dinner","underweight, healthy, overweight"
Spinach,1 cup,100,26,3,t,1,3,Vegetables R-Z,"lunch, dinner","underweight, healthy, overweight"
Squash,1 cup,210,35,1,t,0.6,8,Vegetables R-Z,"lunch, dinner","underweight, healthy"
Sweet potatoes,1 med.,110,155,2,1,1,36,Vegetables R-Z,"lunch, snack","underweight, healthy"
Tomatoes,1 cup,240,50,2,t,1,9,Vegetables R-Z,"lunch, dinner","underweight, healthy, overweight"
Tomato juice,1 cup,240,50,2,t,0.6,10,Vegetables R-Z,snack,"underweight, healthy, overweight"
Apple juice canned,1 cup,250,125,t,0,0,34,Fruits A-F,snack,"underweight, healthy, overweight"
"Apples, raw",1 med,130,70,t,t,1,18,Fruits A-F,"breakfast, snack","underweight, healthy, overweight"
Apricots,1 cup,250,220,2,t,1,57,Fruits A-F,"breakfast, snack","underweight, healthy, overweight"
Avocado,1/2 large,108,185,2,18,1.8,6,Fruits A-F,"breakfast, snack","underweight, healthy, overweight"
Banana,1 med.,150,85,1,t,0.9,23,Fruits A-F,"breakfast, snack","underweight, healthy, overweight"
Blackberries,1 cup,144,85,2,1,6.6,19,Fruits A-F,"breakfast, snack","underweight, healthy, overweight"
Blueberries,1 cup,250,245,1,t,2,65,Fruits A-F,"breakfast, snack","underweight, healthy, overweight"
Cherries,1 cup,257,100,2,1,2,26,Fruits A-F,"breakfast, snack","underweight, healthy, overweight"
Cranberry sauce sweetened,1 cup,277,530,t,t,1.2,142,Fruits A-F,"breakfast, snack","underweight, healthy"
Dates,1 cup,178,505,4,t,3.6,134,Fruits A-F,"breakfast, snack","underweight, healthy, overweight"
"Fruit cocktail, canned",1 cup,256,195,1,t,0.5,50,Fruits A-F,snack,"underweight, healthy"
"Grapefruit, fresh, 5"" diameter",01-Feb,285,50,1,t,1,14,Fruits G-P,snack,"underweight, healthy, overweight"
Grapefruit juice,1 cup,250,100,1,t,1,24,Fruits G-P,snack,"underweight, healthy, overweight"
Grapes,1 cup,153,70,1,t,0.8,16,Fruits G-P,"breakfast, snack","underweight, healthy, overweight"
Grape juice,1 cup,250,160,1,t,t,42,Fruits G-P,snack,"underweight, healthy, overweight"
Lemon juice,1/2 cup,125,30,t,t,t,10,Fruits G-P,snack,"underweight, healthy, overweight"
Olives large,10,65,72,1,10,0.8,3,Fruits G-P,"breakfast, snack","underweight, healthy, overweight"
Oranges 3" diameter,1 med.,180,60,2,t,1,16,Fruits G-P,"breakfast, snack","underweight, healthy, overweight"
Orange juice,8 oz. or,250,112,2,t,0.2,25,Fruits G-P,"breakfast, snack","underweight, healthy, overweight"
Papaya,1/2 med.,200,75,1,t,1.8,18,Fruits G-P,snack,"underweight, healthy, overweight"
Pears,1 cup,255,195,1,t,2,50,Fruits G-P,snack,"underweight, healthy, overweight"
Pineapple,1 large slice,122,95,t,t,0.4,26,Fruits G-P,snack,"underweight, healthy, overweight"
Pineapple juice,1 cup,250,120,1,t,0.2,32,Fruits G-P,snack,"underweight, healthy, overweight"
Plums,1 cup,256,185,1,t,0.7,50,Fruits G-P,snack,"underweight, healthy, overweight"
Raisins,1/2 cup,88,230,2,t,0.7,82,Fruits R-Z,"breakfast, snack","underweight, healthy, overweight"
Raspberries,1/2 cup,100,100,t,t,2,25,Fruits R-Z,snack,"underweight, healthy, overweight"
Strawberries,1 cup,227,242,1,t,1.3,60,Fruits R-Z,"breakfast, snack","underweight, healthy, overweight"
Watermelon,1 wedge,925,120,2,1,3.6,29,Fruits R-Z,snack,"underweight, healthy, overweight"
Biscuits,1,38,130,3,4,t,18,"Breads, cereals, fastfood,grains","breakfast, snack","underweight, healthy, overweight"
"Bread, cracked wheat",1 slice,23,60,2,1,0.1,12,"Breads, cereals, fastfood,grains","breakfast, lunch, snack","underweight, healthy"
"Bread, Whole-wheat",1-lb. loaf,454,"1,100",48,14,67.5,216,"Breads, cereals, fastfood,grains","breakfast, lunch, snack","underweight, healthy"
Corn bread ground meal,1 serving,50,100,3,4,0.3,15,"Breads, cereals, fastfood,grains",breakfast,"underweight, healthy"
Cornflakes,1 cup,25,110,2,t,0.1,25,"Breads, cereals, fastfood,grains",breakfast,"underweight, healthy, overweight"
Corn meal,1 cup,118,360,9,4,1.6,74,"Breads, cereals, fastfood,grains","lunch, dinner","underweight, healthy, overweight"
Flour,1 cup,110,460,39,22,2.9,33,"Breads, cereals, fastfood,grains","lunch, dinner","underweight, healthy"
Wheat (whole),1 cup,120,390,13,2,2.8,79,"Breads, cereals, fastfood,grains","lunch, dinner","underweight, healthy, overweight"
Macaroni,1 cup,140,155,5,1,0.1,32,"Breads, cereals, fastfood,grains","breakfast, snack","underweight, healthy"
Macaroni Baked with cheese,1 cup,220,475,18,25,t,44,"Breads, cereals, fastfood,grains","breakfast, snack","underweight, healthy"
Muffins,1,48,135,4,5,t,19,"Breads, cereals, fastfood,grains",snack,"underweight, healthy"
Noodles,1 cup,160,200,7,2,0.1,37,"Breads, cereals, fastfood,grains","breakfast, lunch, snack, dinner","underweight, healthy"
Oatmeal,1 cup,236,150,5,3,4.6,26,"Breads, cereals, fastfood,grains",breakfast,"healthy, overweight"
Pancakes 4" diam.,4,108,250,7,9,0.1,28,"Breads, cereals, fastfood,grains",snack,"underweight, healthy"
"Wheat, pancakes 4"" diam.",4,108,250,7,9,0.1,28,"Breads, cereals, fastfood,grains",snack,"underweight, healthy"
Pizza 14" diam.,1 section,75,180,8,6,t,23,"Breads, cereals, fastfood,grains","lunch, snack, dinner","underweight, healthy"
Popcorn salted,2 cups,28,152,3,7,0.5,20,"Breads, cereals, fastfood,grains",snack,"underweight, healthy"
Puffed rice,1 cup,14,55,t,t,t,12,"Breads, cereals, fastfood,grains",snack,"underweight, healthy"
Puffed wheat presweetened,1 cup,28,105,1,t,0.6,26,"Breads, cereals, fastfood,grains",snack,"underweight, healthy, overweight"
Rice,1 cup,208,748,15,3,1.2,154,"Breads, cereals, fastfood,grains","lunch, dinner","underweight, healthy"
White,1 cup,191,692,14,t,0.3,150,"Breads, cereals, fastfood,grains","lunch, dinner","underweight, healthy, overweight"
Rice flakes,1 cup,30,115,2,t,0.1,26,"Breads, cereals, fastfood,grains","breakfast, snack","underweight, healthy, overweight"
Rice polish,1/2 cup,50,132,6,6,1.2,28,"Breads, cereals, fastfood,grains","lunch, dinner","underweight, healthy"
Rolls,1 large,50,411,3,12,0.1,23,"Breads, cereals, fastfood,grains","breakfast, snack, dinner","underweight, healthy"
whole-wheat,1,40,102,4,1,0.1,20,"Breads, cereals, fastfood,grains","lunch, dinner","underweight, healthy, overweight"
Spaghetti with meat sauce,1 cup,250,285,13,10,0.5,35,"Breads, cereals, fastfood,grains","lunch, dinner","underweight, healthy"
Spanish rice,1 cup,250,217,4,4,1.2,40,"Breads, cereals, fastfood,grains","lunch, dinner","underweight, healthy, overweight"
Shredded wheat biscuit,1,28,100,3,1,0.7,23,"Breads, cereals, fastfood,grains","breakfast, snack","underweight, healthy, overweight"
Waffles,1,75,240,8,9,0.1,30,"Breads, cereals, fastfood,grains",snack,"underweight, healthy"
Bean soups,1 cup,250,190,8,5,0.6,30,Soups,"lunch, dinner","underweight, healthy, overweight"
chicken soup,1 cup,250,75,4,2,0,10,Soups,"lunch, dinner","underweight, healthy"
Cream soups,1 cup,255,200,7,12,1.2,18,Soups,"lunch, dinner","underweight, healthy"
Noodle,1 cup,250,115,6,4,0.2,13,Soups,"lunch, dinner","underweight, healthy"
Split-pea soup,1 cup,250,147,8,3,0.5,25,Soups,"lunch, dinner","underweight, healthy, overweight"
Tomato soup,1 cup,245,175,6,7,0.5,22,Soups,"lunch, dinner","underweight, healthy, overweight"
Vegetable,1 cup,250,80,4,2,0,14,Soups,"lunch, dinner","underweight, healthy, overweight"
Bread pudding,3/4 cup,200,374,11,12,0.2,56,"Desserts, sweets",snack,"underweight, healthy"
Cakes,1 slice,40,110,3,t,0,23,"Desserts, sweets",snack,"underweight, healthy, overweight"
Chocolate fudge,1 slice,120,420,5,14,0.3,70,"Desserts, sweets",snack,"underweight, healthy"
Cupcake,1,50,160,3,3,t,31,"Desserts, sweets",snack,"underweight, healthy"
Fruit cake,1 slice,30,105,2,4,0.2,17,"Desserts, sweets",snack,"underweight, healthy"
Gingerbread,1 slice,55,180,2,7,t,28,"Desserts, sweets",snack,"underweight, healthy, overweight"
Sponge cake,1 slice,40,115,3,2,0,22,"Desserts, sweets",snack,"underweight, healthy, overweight"
Candy,5,25,104,t,3,0,19,"Desserts, sweets",snack,"underweight, healthy"
Chocolate creams,2,30,130,t,4,0,24,"Desserts, sweets",snack,"underweight, healthy"
Fudge,2 pieces,90,370,t,12,0.1,80,"Desserts, sweets",snack,"underweight, healthy"
Hard candies,1 oz.,28,90,t,0,0,28,"Desserts, sweets",snack,"underweight, healthy"
Marshmallows,5,30,98,1,0,0,23,"Desserts, sweets",snack,"underweight, healthy"
Milk chocolate,2-oz. bar,56,290,2,6,0.2,44,"Desserts, sweets",snack,"underweight, healthy"
Chocolate syrup,2 T.,40,80,t,t,0,22,"Desserts, sweets",snack,"underweight, healthy"
Doughnuts,1,33,135,2,7,t,17,"Desserts, sweets",snack,"underweight, healthy"
Honey,2 T.,42,120,t,0,0,30,"Jams, Jellies","breakfast, snack","underweight, healthy, overweight"
Ice cream,2 cups,300,250,0,0,10,0,"Desserts, sweets","snack, dinner","underweight, healthy"
Jellies,1 T.,20,50,0,0,0,13,"Jams, Jellies",snack,"underweight, healthy"
Molasses,1 T.,20,45,0,0,8,11,"Jams, Jellies",snack,"underweight, healthy"
Cherry Pie,1 slice,135,340,3,13,0.1,55,"Desserts, sweets",snack,"underweight, healthy"
Custard,1 slice,130,265,7,11,0,34,"Desserts, sweets",snack,"underweight, healthy"
Pumpkin Pie,1 slice,130,265,5,12,8,34,"Desserts, sweets",snack,"underweight, healthy"
Puddings Sugar,1 cup,200,770,0,0,0,199,"Desserts, sweets",snack,"underweight, healthy"
Almonds,1/2 cup,70,425,13,38,1.8,13,Seeds and Nuts,"breakfast, snack","underweight, healthy, overweight"
Almonds roasted and salted,1/2 cup,70,439,13,40,1.8,13,Seeds and Nuts,"breakfast, snack","underweight, healthy, overweight"
Brazil nuts,1/2 cup,70,457,10,47,2,7,Seeds and Nuts,"breakfast, snack","underweight, healthy, overweight"
Cashews,1/2 cup,70,392,12,32,0.9,20,Seeds and Nuts,"breakfast, snack","underweight, healthy, overweight"
coconut sweetened,1/2 cup,50,274,1,20,2,26,Seeds and Nuts,snack,"underweight, healthy"
Peanut butter,1/3 cup,50,300,12,25,0.9,9,Seeds and Nuts,"breakfast, snack","underweight, healthy"
"Peanut butter, natural",1/3 cup,50,284,13,24,0.9,8,Seeds and Nuts,"breakfast, snack","underweight, healthy"
Peanuts,1/3 cup,50,290,13,25,1.2,9,Seeds and Nuts,"breakfast, snack","underweight, healthy, overweight"
Walnuts,1/2 cup,50,325,7,32,1,8,Seeds and Nuts,"breakfast, snack","underweight, healthy, overweight"
Beer,2 cups,480,228,t,0,0,8,"Drinks,Alcohol, Beverages",dinner,"underweight, healthy"
Gin,1 oz.,28,70,0,0,0,t,"Drinks,Alcohol, Beverages",dinner,"underweight, healthy"
Wines,1/2 cup,120,164,t,0,0,9,"Drinks,Alcohol, Beverages","lunch, dinner","underweight, healthy"
alcohol,1/2 cup,120,100,t,0,0,5,"Drinks,Alcohol, Beverages",dinner,"underweight, healthy"
Carbonated drinks Artificially sweetened,12 oz.,346,0,0,0,0,0,"Drinks,Alcohol, Beverages","lunch, dinner","underweight, healthy"
Club soda,12 oz.,346,0,0,0,0,0,"Drinks,Alcohol, Beverages","lunch, dinner","underweight, healthy, overweight"
Cola drinks,12 oz.,346,137,0,0,0,38,"Drinks,Alcohol, Beverages","lunch, snack, dinner","underweight, healthy"
Fruit-flavored soda,12 oz.,346,161,0,0,0,42,"Drinks,Alcohol, Beverages","lunch, snack, dinner","underweight, healthy"
Root beer,12 oz.,346,140,0,0,0,35,"Drinks,Alcohol, Beverages",dinner,"underweight, healthy"
Coffee,1 cup,230,3,t,0,0,1,"Drinks,Alcohol, Beverages","breakfast, snack","underweight, healthy, overweight"
Tea,1 cup,230,4,0,t,0,1,"Drinks,Alcohol, Beverages","breakfast, snack","underweight, healthy, overweight"
